starfusion,tophat

ntools,lab,cell,accuracy,precision,#TP,#GT,#FP,TP_list,FP_list
1,edgren,BT474,0.8695652173913043,0.5128205128205128,20,23,19,"['THRA--AC090627.1', 'ACACA--STAC2', 'RPS6KB1--SNF8', 'TOB1--SYNRG', 'VAPB--IKZF3', 'AHCTF1--NAAA', 'STX16--RAE1', 'ZMYND8--CEP250', 'MED1--ACSF2', 'MED1--STXBP4', 'RAB22A--MYO9B', 'MED13--BCAS3', 'SKA2--MYO19', 'STARD3--DOK5', 'TRPC4AP--MRPL45', 'DIDO1--TTI1', 'PIP4K2B--RAD51C', 'GLB1--CMTM7', 'CPNE1--PI3', 'LAMP1--MCF2L']","['BRD4--RFX1', 'ASTN2--AL354754.1', 'AC025048.4--HEATR6', 'TRIM37--MYO19', 'ERN1--TBC1D3P1', 'TADA2A--AL589743.4', 'ENSG00000248527--PDE3A', 'HFM1--RNR2', 'NOTCH2NLB--RNR2', 'DLG2--UNC45B', 'DLG2--RNR2', 'PDE3A--RNR2', 'PDE3A--ENSG00000198938', 'PDE3A--ENSG00000228253', 'UBB--ENSG00000198804', 'UNC45B--ENSG00000198804', 'ERBB2--RNR2', 'ANKRD30BL--RNR2', 'RNR2--ENSG00000198712']"
1,edgren,KPL4,1.0,0.2727272727272727,3,3,8,"['BSG--NFIX', 'NOTCH1--NUP214', 'PPP1R12A--SEPT10']","['EHMT1--NTNG2', 'C5--C9orf170', 'WASF3--COL5A1', 'INIP--CDC26', 'INIP--C5', 'CENPX--DUS1L', 'PCBP3--AP001042.2', 'PDE3A--RNR2']"
1,edgren,MCF7,0.6,0.391304347826087,9,15,14,"['BCAS4--BCAS3', 'ARFGEF2--SULF2', 'AC099850.1--VMP1', 'RPS6KB1--VMP1', 'PAPOLA--AK7', 'SMARCA4--CARM1', 'MYO9B--FCHO1', 'SULF2--PRICKLE2', 'ADAMTS19--SLC27A6']","['RSBN1--AP4B1-AS1', 'TXLNG--SYAP1', 'LRP1B--PLXDC1', 'AC114498.2--RPL13A', 'BPTF--PITPNC1', 'BMERB1--ABCC1', 'ATP1A1--ZFP64', 'AC053481.3--DIAPH3', 'AL133342.1--PREX1', 'AL669831.3--NME2', 'PDE3A--RNR2', 'ANKRD30BL--RNR2', 'FOXA1--TTC6', 'SULF2--ENSG00000171940']"
1,edgren,SKBR3,0.5,0.46153846153846156,6,12,7,"['TATDN1--GSDMB', 'CYTH1--EIF3H', 'SUMF1--LRRFIP2', 'RARA--PKIA', 'CSE1L--AL035685.1', 'CCDC85C--SETD3']","['ANKHD1-EIF4EBP3--PCDH1', 'ACOT8--WASH2P', 'ATAD5--TLK2', 'TBC1D31--ZNF704', 'PDE3A--RNR2', 'TOP1--FMO4', 'TEX101--ARL8B']"
2,edgren,BT474,0.34782608695652173,1.0,8,23,0,"['ACACA--STAC2', 'RPS6KB1--SNF8', 'TOB1--SYNRG', 'VAPB--IKZF3', 'MED1--ACSF2', 'MED1--STXBP4', 'RAB22A--MYO9B', 'SKA2--MYO19']",[]
2,edgren,KPL4,0.3333333333333333,1.0,1,3,0,['BSG--NFIX'],[]
2,edgren,MCF7,0.13333333333333333,1.0,2,15,0,"['BCAS4--BCAS3', 'ARFGEF2--SULF2']",[]
2,edgren,SKBR3,0.16666666666666666,1.0,2,12,0,"['TATDN1--GSDMB', 'RARA--PKIA']",[]
